2024-11-05 12:14:13.305 | SUCCESS  | General_Functions:Procesar_configuracion:39 - Proceso de obtención de configuración satisfactorio
2024-11-05 12:14:13.367 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura AFO Depuraciones.xlsx Hoja Condicionados
2024-11-05 12:14:13.710 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de AFO Depuraciones.xlsx Hoja: Condicionados realizada con éxito
2024-11-05 12:14:13.755 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 0.38829803466796875 segundos
2024-11-05 12:14:13.770 | SUCCESS  | Transformation_functions:Unidecode_solo_cols_df:975 - Unidecode a las columnas del dataframe exitoso.
2024-11-05 12:14:13.776 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Unidecode_solo_cols_df: 0.008083343505859375 segundos
2024-11-05 12:14:13.788 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura AFO Depuraciones.xlsx Hoja Pie Factura
2024-11-05 12:14:14.375 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de AFO Depuraciones.xlsx Hoja: Pie Factura realizada con éxito
2024-11-05 12:14:14.429 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 0.6412768363952637 segundos
2024-11-05 12:14:14.441 | SUCCESS  | Transformation_functions:Unidecode_solo_cols_df:975 - Unidecode a las columnas del dataframe exitoso.
2024-11-05 12:14:14.447 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Unidecode_solo_cols_df: 0.006409645080566406 segundos
2024-11-05 12:14:14.499 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura P3_Historico.xlsx Hoja P3_Historico
2024-11-05 12:14:20.592 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de P3_Historico.xlsx Hoja: P3_Historico realizada con éxito
2024-11-05 12:14:20.652 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 6.152734041213989 segundos
2024-11-05 12:14:20.714 | SUCCESS  | Transformation_functions:Unidecode_solo_cols_df:975 - Unidecode a las columnas del dataframe exitoso.
2024-11-05 12:14:20.769 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Unidecode_solo_cols_df: 0.05524444580078125 segundos
2024-11-05 12:14:20.826 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura Ppto_Inversión_x_Cliente_Acum.xlsx Hoja BD - Ventas
2024-11-05 12:14:44.175 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de Ppto_Inversión_x_Cliente_Acum.xlsx Hoja: BD - Ventas realizada con éxito
2024-11-05 12:14:44.281 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 23.45443320274353 segundos
2024-11-05 12:14:44.338 | SUCCESS  | Transformation_functions:Unidecode_solo_cols_df:975 - Unidecode a las columnas del dataframe exitoso.
2024-11-05 12:14:44.397 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Unidecode_solo_cols_df: 0.060700416564941406 segundos
2024-11-05 12:14:44.488 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura Envios_Directos_-_Contado_-_Dev._Malas.xlsx Hoja Envíos Directos
2024-11-05 12:14:44.599 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de Envios_Directos_-_Contado_-_Dev._Malas.xlsx Hoja: Envíos Directos realizada con éxito
2024-11-05 12:14:44.713 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 0.22445964813232422 segundos
2024-11-05 12:14:44.774 | SUCCESS  | Transformation_functions:Unidecode_solo_cols_df:975 - Unidecode a las columnas del dataframe exitoso.
2024-11-05 12:14:44.834 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Unidecode_solo_cols_df: 0.06032752990722656 segundos
2024-11-05 12:14:44.899 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura Envios_Directos_-_Contado_-_Dev._Malas.xlsx Hoja Contado
2024-11-05 12:14:46.510 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de Envios_Directos_-_Contado_-_Dev._Malas.xlsx Hoja: Contado realizada con éxito
2024-11-05 12:14:46.622 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 1.7228457927703857 segundos
2024-11-05 12:14:46.685 | SUCCESS  | Transformation_functions:Unidecode_solo_cols_df:975 - Unidecode a las columnas del dataframe exitoso.
2024-11-05 12:14:46.746 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Unidecode_solo_cols_df: 0.06216168403625488 segundos
2024-11-05 12:14:46.810 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura Envios_Directos_-_Contado_-_Dev._Malas.xlsx Hoja Dev. Malas
2024-11-05 12:14:47.292 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de Envios_Directos_-_Contado_-_Dev._Malas.xlsx Hoja: Dev. Malas realizada con éxito
2024-11-05 12:14:47.354 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 0.5435686111450195 segundos
2024-11-05 12:14:47.430 | SUCCESS  | Transformation_functions:Unidecode_solo_cols_df:975 - Unidecode a las columnas del dataframe exitoso.
2024-11-05 12:14:47.488 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Unidecode_solo_cols_df: 0.05808591842651367 segundos
2024-11-05 12:14:47.567 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura TD - Datos Cliente.xlsx Hoja TD - Datos Cliente
2024-11-05 12:14:54.059 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de TD - Datos Cliente.xlsx Hoja: TD - Datos Cliente realizada con éxito
2024-11-05 12:14:54.116 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 6.549454212188721 segundos
2024-11-05 12:14:54.186 | SUCCESS  | Transformation_functions:Unidecode_solo_cols_df:975 - Unidecode a las columnas del dataframe exitoso.
2024-11-05 12:14:54.277 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Unidecode_solo_cols_df: 0.091278076171875 segundos
2024-11-05 12:14:54.368 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura Drivers_usuario.xlsx Hoja Dcto_Condicionados_x_Concepto
2024-11-05 12:14:54.471 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de Drivers_usuario.xlsx Hoja: Dcto_Condicionados_x_Concepto realizada con éxito
2024-11-05 12:14:54.617 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 0.2487480640411377 segundos
2024-11-05 12:14:54.671 | SUCCESS  | Transformation_functions:Unidecode_solo_cols_df:975 - Unidecode a las columnas del dataframe exitoso.
2024-11-05 12:14:54.726 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Unidecode_solo_cols_df: 0.054216623306274414 segundos
2024-11-05 12:14:54.785 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura Drivers_usuario.xlsx Hoja Driver dcto envio directo
2024-11-05 12:14:54.864 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de Drivers_usuario.xlsx Hoja: Driver dcto envio directo realizada con éxito
2024-11-05 12:14:55.396 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 0.611675500869751 segundos
2024-11-05 12:14:55.856 | SUCCESS  | Transformation_functions:Unidecode_solo_cols_df:975 - Unidecode a las columnas del dataframe exitoso.
2024-11-05 12:14:56.099 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Unidecode_solo_cols_df: 0.24450349807739258 segundos
2024-11-05 12:14:56.160 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:14:56.205 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.05273842811584473 segundos
2024-11-05 12:14:56.288 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:14:56.365 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.08275032043457031 segundos
2024-11-05 12:14:56.452 | INFO     | Transformation_functions:Formatear_primera_letra_mayuscula:1419 - Primera letra en mayúscula aplicada a las columnas: Mes
2024-11-05 12:14:56.503 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Formatear_primera_letra_mayuscula: 0.0619199275970459 segundos
2024-11-05 12:14:56.568 | INFO     | Transformation_functions:Eliminar_primeras_n_filas:255 - Eliminación de filas del dataframe: 
2024-11-05 12:14:56.634 | SUCCESS  | Transformation_functions:Eliminar_primeras_n_filas:260 - Eliminación de filas completa.
2024-11-05 12:14:56.692 | INFO     | Transformation_functions:Eliminar_primeras_n_filas:255 - Eliminación de filas del dataframe: 
2024-11-05 12:14:56.759 | SUCCESS  | Transformation_functions:Eliminar_primeras_n_filas:260 - Eliminación de filas completa.
2024-11-05 12:14:56.843 | INFO     | Transformation_functions:duplicar_columna:454 - Se duplicó la columna 'Descuento sombrilla' como 'Descuento sombrilla_recortado'.
2024-11-05 12:14:56.933 | SUCCESS  | Transformation_functions:duplicar_columna:455 - La tarea se completó correctamente.
2024-11-05 12:14:56.993 | INFO     | Transformation_functions:Eliminar_primeros_n_caracteres:1011 - Se eliminaron los primeros 5 caracteres de la columna 'Descuento sombrilla_recortado'.
2024-11-05 12:14:57.039 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Eliminar_primeros_n_caracteres: 0.049945831298828125 segundos
2024-11-05 12:14:57.130 | INFO     | Transformation_functions:concatenar_columnas:1292 - Columnas 'Descuento sombrilla_recortado, Descuento concepto' concatenadas y almacenadas en 'Cod. Cp'.
2024-11-05 12:14:57.177 | INFO     | Transformation_functions:concatenar_dataframes:92 - Inicio concatenacion de dataframes
2024-11-05 12:14:57.225 | SUCCESS  | Transformation_functions:concatenar_dataframes:94 - se concatenaron los dataframes correctamente
2024-11-05 12:14:57.263 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de concatenar_dataframes: 0.08603572845458984 segundos
2024-11-05 12:14:57.344 | SUCCESS  | Transformation_functions:pd_left_merge_two_keys:876 - Proceso de merge satisfactorio
2024-11-05 12:14:57.412 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.08249640464782715 segundos
2024-11-05 12:14:57.482 | INFO     | Transformation_functions:Eliminar_columnas:161 - Columnas ['Codigo'] eliminadas con éxito.
2024-11-05 12:14:57.537 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:14:57.589 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.055420875549316406 segundos
2024-11-05 12:14:57.654 | INFO     | Transformation_functions:Agregar_columna_constante:542 - Se añadieron la columnas 'Año' con el valor constante '2024' al DataFrame.
2024-11-05 12:14:57.717 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Agregar_columna_constante: 0.06608128547668457 segundos
2024-11-05 12:14:57.788 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:14:57.850 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.06774640083312988 segundos
2024-11-05 12:14:57.923 | INFO     | Transformation_functions:concatenar_dataframes:92 - Inicio concatenacion de dataframes
2024-11-05 12:14:57.985 | SUCCESS  | Transformation_functions:concatenar_dataframes:94 - se concatenaron los dataframes correctamente
2024-11-05 12:14:58.037 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de concatenar_dataframes: 0.11399197578430176 segundos
2024-11-05 12:14:58.236 | INFO     | General_Functions:exportar_a_excel:391 - Exportando a excel: P3_Historico
2024-11-05 12:15:17.875 | INFO     | Transformation_functions:Agregar_columna_constante:542 - Se añadieron la columnas 'Año' con el valor constante '2024' al DataFrame.
2024-11-05 12:15:17.957 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Agregar_columna_constante: 0.10661864280700684 segundos
2024-11-05 12:15:18.119 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:15:18.198 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.16270112991333008 segundos
2024-11-05 12:15:18.315 | INFO     | Transformation_functions:Agregar_columna_constante:542 - Se añadieron la columnas 'Mes Orig.' con el valor constante 'Año' al DataFrame.
2024-11-05 12:15:18.389 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Agregar_columna_constante: 0.09826231002807617 segundos
2024-11-05 12:15:18.582 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:15:18.663 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.16879010200500488 segundos
2024-11-05 12:15:18.771 | INFO     | Transformation_functions:Agregar_columnas_constantes:581 - Se añadieron las columnas '['Cod. Mt', 'Descripcion Material', 'Venta Env. Dir.', 'Devoluciones Malas ME']' con los valores constantes '['-', '-', '0', '0']' al DataFrame.
2024-11-05 12:15:18.839 | INFO     | Transformation_functions:Agregar_columnas_constantes:581 - Se añadieron las columnas '['Cod. Mt', 'Descripcion Material', 'Venta Env. Dir.', 'Venta Efectiva']' con los valores constantes '['-', '-', '0', '0']' al DataFrame.
2024-11-05 12:15:18.912 | INFO     | Transformation_functions:concatenar_dataframes:92 - Inicio concatenacion de dataframes
2024-11-05 12:15:18.992 | SUCCESS  | Transformation_functions:concatenar_dataframes:94 - se concatenaron los dataframes correctamente
2024-11-05 12:15:19.058 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de concatenar_dataframes: 0.145338773727417 segundos
2024-11-05 12:15:19.137 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:15:19.221 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.09462547302246094 segundos
2024-11-05 12:15:19.287 | INFO     | General_Functions:Lectura_insumos_excel:71 - Inicio lectura TD - Metas Inv.xlsx Hoja TD - Metas Inv
2024-11-05 12:15:20.517 | SUCCESS  | General_Functions:Lectura_insumos_excel:79 - Lectura de TD - Metas Inv.xlsx Hoja: TD - Metas Inv realizada con éxito
2024-11-05 12:15:20.583 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Lectura_insumos_excel: 1.2963285446166992 segundos
2024-11-05 12:15:20.661 | INFO     | Transformation_functions:Eliminar_filas_duplicadas_por_columnas:1480 - Filas duplicadas eliminadas basándose en las columnas: ['Cod. Cl']
2024-11-05 12:15:20.752 | SUCCESS  | Transformation_functions:pd_left_merge_two_keys:876 - Proceso de merge satisfactorio
2024-11-05 12:15:20.803 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.08522224426269531 segundos
2024-11-05 12:15:20.866 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:15:20.932 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.06931638717651367 segundos
2024-11-05 12:15:21.043 | SUCCESS  | Transformation_functions:pd_left_merge_two_keys:876 - Proceso de merge satisfactorio
2024-11-05 12:15:21.155 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.1682910919189453 segundos
2024-11-05 12:15:21.254 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de reemplazar_indices: 0.0062103271484375 segundos
2024-11-05 12:15:21.336 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de reemplazar_indices: 0.001026153564453125 segundos
2024-11-05 12:15:21.551 | SUCCESS  | Transformation_functions:pd_left_merge:834 - Proceso de merge satisfactorio
2024-11-05 12:15:21.615 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge: 0.17827320098876953 segundos
2024-11-05 12:15:21.779 | INFO     | Transformation_functions:Agregar_columna_constante:542 - Se añadieron la columnas 'Sector' con el valor constante 'Compañia' al DataFrame.
2024-11-05 12:15:21.901 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Agregar_columna_constante: 0.19675993919372559 segundos
2024-11-05 12:15:22.245 | SUCCESS  | Transformation_functions:pd_left_merge_two_keys:876 - Proceso de merge satisfactorio
2024-11-05 12:15:22.307 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.11263036727905273 segundos
2024-11-05 12:15:22.414 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:15:22.486 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.07706236839294434 segundos
2024-11-05 12:15:22.688 | SUCCESS  | Transformation_functions:pd_left_merge_two_keys:876 - Proceso de merge satisfactorio
2024-11-05 12:15:22.752 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.1799147129058838 segundos
2024-11-05 12:15:22.864 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de reemplazar_indices: 0.002001523971557617 segundos
2024-11-05 12:15:22.951 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de reemplazar_indices: 0.002022981643676758 segundos
2024-11-05 12:15:23.242 | SUCCESS  | Transformation_functions:pd_left_merge:834 - Proceso de merge satisfactorio
2024-11-05 12:15:23.350 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge: 0.25979042053222656 segundos
2024-11-05 12:15:23.605 | INFO     | Transformation_functions:Agregar_columna_constante:542 - Se añadieron la columnas 'Sector' con el valor constante 'Compañia' al DataFrame.
2024-11-05 12:15:23.704 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Agregar_columna_constante: 0.2521333694458008 segundos
2024-11-05 12:15:24.030 | SUCCESS  | Transformation_functions:pd_left_merge_two_keys:876 - Proceso de merge satisfactorio
2024-11-05 12:15:24.100 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.0855722427368164 segundos
2024-11-05 12:15:24.189 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:15:24.261 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.07672643661499023 segundos
2024-11-05 12:15:24.369 | SUCCESS  | Transformation_functions:pd_left_merge_two_keys:876 - Proceso de merge satisfactorio
2024-11-05 12:15:24.429 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.07948851585388184 segundos
2024-11-05 12:15:24.515 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de reemplazar_indices: 0.0010066032409667969 segundos
2024-11-05 12:15:24.597 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de reemplazar_indices: 0.0010173320770263672 segundos
2024-11-05 12:15:24.730 | SUCCESS  | Transformation_functions:pd_left_merge:834 - Proceso de merge satisfactorio
2024-11-05 12:15:24.794 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge: 0.10110259056091309 segundos
2024-11-05 12:15:24.969 | SUCCESS  | Transformation_functions:pd_left_merge_two_keys:876 - Proceso de merge satisfactorio
2024-11-05 12:15:25.071 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.11058831214904785 segundos
2024-11-05 12:15:25.176 | SUCCESS  | Transformation_functions:Renombrar_columnas_con_diccionario:282 - Proceso de renombrar columnas satisfactorio: 
2024-11-05 12:15:25.234 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.06273889541625977 segundos
2024-11-05 12:15:25.330 | SUCCESS  | Transformation_functions:pd_left_merge_two_keys:876 - Proceso de merge satisfactorio
2024-11-05 12:15:25.389 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge_two_keys: 0.07116222381591797 segundos
2024-11-05 12:15:25.472 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de reemplazar_indices: 0.0 segundos
2024-11-05 12:15:25.563 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de reemplazar_indices: 0.001007080078125 segundos
2024-11-05 12:15:25.694 | SUCCESS  | Transformation_functions:pd_left_merge:834 - Proceso de merge satisfactorio
2024-11-05 12:15:25.760 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de pd_left_merge: 0.09264516830444336 segundos
2024-11-05 12:15:25.858 | INFO     | Transformation_functions:Agregar_columna_constante:542 - Se añadieron la columnas 'Sector' con el valor constante 'Compañia' al DataFrame.
2024-11-05 12:15:25.938 | INFO     | General_Functions:wrapper:18 - Tiempo de ejecución de Agregar_columna_constante: 0.09319758415222168 segundos
